t,px,m6,m3,a20,a50,a200,rsi2,d5,frhi,score,stop,rank
PANW,330.6499938964844,0.9667499613356869,0.1828783863643535,-0.06398134891044105,-0.05405167364107977,0.40148241230725423,21.259387098596946,-0.0038862702158037887,-0.1710539765119926,0.795,281.05249481201173,1
STX,830.1699829101562,1.2198244786417352,-0.04368215596563463,-0.030662752412344063,-0.02126533651972351,0.3701910510680917,17.011857596100356,0.039518661345939066,-0.27496071361558405,0.7799999999999999,705.6444854736328,2
SNDK,1633.3499755859375,1.6394588996056414,-0.13189408129197255,0.019487821849488052,0.07607915042748203,0.5801425496335568,16.402108514938547,0.05039259792260897,-0.30625340317046124,0.745,1388.3474792480467,3
CRWD,206.74000549316406,0.8728994110813904,0.1958410870652747,-0.0037274428876324928,0.020522029119879548,0.43446024990553234,21.855090614383954,-0.03828439168630593,-0.11604240988128578,0.625,175.72900466918944,4
UNH,379.0899963378906,0.36830901657058845,-0.06524471027375744,-0.03832226645830816,-0.07350607630935635,0.07383024835414442,4.252737841842006,-0.05449694710047992,-0.17878341417673138,0.6200000000000001,322.226496887207,5
CRL,278.260009765625,0.8227433714826373,0.47963423044779985,-0.03320006416192556,0.07482360847779068,0.3745779611194826,54.17265321874109,-0.051440245522155426,-0.08258873098348685,0.5900000000000001,236.52100830078123,6
LRCX,298.2200012207031,0.4235524053696893,-0.17736949614258035,-0.03905703918427561,-0.05098557451551322,0.1288246284560821,22.030016996109367,0.01899814627561147,-0.31990877714776933,0.5700000000000001,253.48700103759765,7
HOOD,112.56999969482422,0.47884912812721714,0.22053556974484834,0.051432096581870645,0.08831843578101561,0.18296900558067297,16.853751875425388,-0.0974182280865954,-0.2683608524095469,0.57,95.68449974060059,8
BAX,23.799999237060547,0.321488003031424,0.16154219145517112,-0.07594349718859728,-0.04491318924569365,0.16248964554420575,2.6831769829163505,-0.06922176296005,-0.20666669209798172,0.56,20.229999351501466,9
TGT,155.8300018310547,0.3462635147391333,0.17483415672584846,-0.03072710787864763,0.04606219684819268,0.2573734591643131,6.638206860943825,-0.04987496463479435,-0.08737919864682464,0.55,132.45550155639648,10
SOLV,87.44999694824219,0.32259518021212985,0.10388785156176272,-0.027560814046308613,0.030605838701124544,0.12719368765197903,1.923634912806122,-0.053981018621532484,-0.07126175077420205,0.515,74.33249740600586,11
WDAY,185.6999969482422,0.3843745176173947,0.4226614470611312,-0.048031607043220736,0.08824703901462883,0.16470837940925454,26.17969500998052,-0.10255171761299497,-0.2567540828023649,0.5,157.84499740600586,12
BEN,33.650001525878906,0.4156500158959091,0.057843511186051355,-0.014713371979661494,-0.0033881462889547853,0.16901778063810213,18.70414867764974,0.0029806942203411957,-0.07249165771523602,0.49,28.60250129699707,13
ZBRA,350.3699951171875,0.717079097657819,0.5751213418075725,-0.02117068113535059,0.08841655662749215,0.34992655754490354,65.36443672022654,-0.019944069602272685,-0.09284626996634404,0.47500000000000003,297.8144958496094,14
INCY,121.47000122070312,0.31989571696081653,0.12649540163246265,-0.034239301118797694,-0.0010575679768840551,0.15519697097098706,11.737172455817557,-0.051015615463256836,-0.08393668454376801,0.42999999999999994,103.24950103759765,15
VEEV,262.3999938964844,0.45140773074308926,0.6242648649930138,0.003946509910865759,0.15696952247298257,0.3215105468201185,36.945266408729026,-0.0772909860360459,-0.15491145282935792,0.42000000000000004,223.0399948120117,16
ABNB,170.19000244140625,0.3327330188612736,0.3004508962425625,-0.06646095153819453,0.03182977107679319,0.21096272039881736,43.67548898310156,-0.0812955333797234,-0.12025143128295834,0.415,144.6615020751953,17
RVTY,124.30999755859375,0.46661154348246203,0.22448780209927088,-0.001934968598279796,0.059273631788256065,0.20740837977041515,55.962641773685725,-0.048380977478247766,-0.06533836422109962,0.41000000000000003,105.66349792480469,18
XYZ,79.20999908447266,0.3223705687261318,0.14647565903881765,-0.026647093880699302,-0.01617639294037365,0.14532845040991105,24.38294026531611,-0.04989808714237953,-0.08870224628268886,0.30000000000000004,67.32849922180175,19
A,146.92999267578125,0.31622320425419925,0.1341566130035503,-0.02962382626234672,0.025609114071840633,0.11670144505553837,66.92578363246012,-0.020336065733050135,-0.10271760197996183,0.14,124.89049377441405,20
